region,fixed_reliability,method,p_mob,original_accepted_count_mean,original_accepted_count_std,original_accepted_count_count,moved_count_mean,moved_count_std,moved_count_count,moved_ratio_mean,moved_ratio_std,moved_ratio_count,avg_original_delay_mean,avg_original_delay_std,avg_original_delay_count,p95_original_delay_mean,p95_original_delay_std,p95_original_delay_count,avg_updated_delay_mean,avg_updated_delay_std,avg_updated_delay_count,p95_updated_delay_mean,p95_updated_delay_std,p95_updated_delay_count,mobility_induced_qos_violation_ratio_mean,mobility_induced_qos_violation_ratio_std,mobility_induced_qos_violation_ratio_count,updated_qos_violation_ratio_mean,updated_qos_violation_ratio_std,updated_qos_violation_ratio_count,avg_delay_increment_mean,avg_delay_increment_std,avg_delay_increment_count,p95_delay_increment_mean,p95_delay_increment_std,p95_delay_increment_count,avg_ingress_backhaul_delay_mean,avg_ingress_backhaul_delay_std,avg_ingress_backhaul_delay_count,avg_access_delay_delta_mean,avg_access_delay_delta_std,avg_access_delay_delta_count,original_accepted_count_ci95,moved_count_ci95,moved_ratio_ci95,avg_original_delay_ci95,p95_original_delay_ci95,avg_updated_delay_ci95,p95_updated_delay_ci95,mobility_induced_qos_violation_ratio_ci95,updated_qos_violation_ratio_ci95,avg_delay_increment_ci95,p95_delay_increment_ci95,avg_ingress_backhaul_delay_ci95,avg_access_delay_delta_ci95
Alabama,0.999,DMDCA,0.0,1109.6,12.720062892926284,5,0.0,0.0,5,0.0,0.0,5,0.06383206431074204,0.0014577232146683753,5,0.12643984406417194,0.003460510018033237,5,0.06383206431074204,0.0014577232146683753,5,0.12643984406417194,0.003460510018033237,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,11.149626720209067,0.0,0.0,0.0012777507345481786,0.003033270769759405,0.0012777507345481786,0.003033270769759405,0.0,0.0,0.0,0.0,0.0,0.0
Alabama,0.999,DMDCA,0.05,1109.6,12.720062892926284,5,50.4,8.44393273303382,5,0.045439223974898954,0.00768388612628915,5,0.06383206431074204,0.0014577232146683753,5,0.12643984406417194,0.003460510018033237,5,0.06404530974686254,0.0014892486448695125,5,0.12659780628599462,0.0033435194312790443,5,0.0,0.0,5,0.0,0.0,5,0.00021324543612050276,4.988580584487961e-05,5,0.0003541442281280756,0.0007918905679335701,5,0.00021367074709986887,5.204969274441198e-05,5,-4.2531097936609324e-07,2.597459533613533e-06,5,11.149626720209067,7.401433374691688,0.006735223150222029,0.0012777507345481786,0.003033270769759405,0.0013053839924884476,0.002930723999113112,0.0,0.0,4.37268367687508e-05,0.000694122687131028,4.5623567264317246e-05,2.2767736656981856e-06
Alabama,0.999,DMDCA,0.1,1109.6,12.720062892926284,5,115.0,12.36931687685298,5,0.10365636867667286,0.011210072257412659,5,0.06383206431074204,0.0014577232146683753,5,0.12643984406417194,0.003460510018033237,5,0.06427137907597844,0.0014744685559296947,5,0.12663954986022763,0.0032524702089187837,5,0.0,0.0,5,0.0,0.0,5,0.00043931476523639736,4.943864767875534e-05,5,0.003933522139017621,0.00042979116101317383,5,0.000437919904251777,5.1334860924841474e-05,5,1.3948609846204268e-06,6.3505904743758656e-06,5,11.149626720209067,10.842184281776433,0.009826061571301618,0.0012777507345481786,0.003033270769759405,0.001292428673323942,0.0028509158369186527,0.0,0.0,4.333488535474078e-05,0.00037672856284437365,4.499698954822977e-05,5.566537983203092e-06
Alabama,0.999,DMDCA,0.2,1109.6,12.720062892926284,5,215.0,15.116216457830975,5,0.1936816631541549,0.011936489153296781,5,0.06383206431074204,0.0014577232146683753,5,0.12643984406417194,0.003460510018033237,5,0.0647007630626758,0.0014506457807655275,5,0.12731728450192265,0.0034586096678584917,5,0.0003679852805887764,0.000822840102115838,5,0.0003679852805887764,0.000822840102115838,5,0.0008686987519337736,2.5762957614515345e-05,5,0.0061107535203571255,0.00021437300173292125,5,0.0008651216253211177,2.490719029098638e-05,5,3.577126612655868e-06,3.5677110637134247e-06,5,11.149626720209067,13.249947924425967,0.010462794054508522,0.0012777507345481786,0.003033270769759405,0.0012715470902094712,0.0030316050393880602,0.0007212511499540018,0.0007212511499540018,2.2582228014780832e-05,0.00018790622093087296,2.1832114882713958e-05,3.12723662931619e-06
Alabama,0.999,MDCA,0.0,918.6,17.487138130637618,5,0.0,0.0,5,0.0,0.0,5,0.055209434777813746,0.0008306359754814304,5,0.11447439834092601,0.0017897589511020411,5,0.055209434777813746,0.0008306359754814304,5,0.11447439834092601,0.0017897589511020411,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,15.32815240007745,0.0,0.0,0.0007280845342474635,0.0015687928897771292,0.0007280845342474635,0.0015687928897771292,0.0,0.0,0.0,0.0,0.0,0.0
Alabama,0.999,MDCA,0.05,918.6,17.487138130637618,5,47.0,3.807886552931954,5,0.05117072091501186,0.004141417097749696,5,0.055209434777813746,0.0008306359754814304,5,0.11447439834092601,0.0017897589511020411,5,0.05544768897100838,0.0008176123254799705,5,0.11476704702297644,0.0017054624292000332,5,0.0,0.0,5,0.0,0.0,5,0.0002382541931946275,2.72258033339999e-05,5,0.001129146652747758,0.0007545584661539299,5,0.00023694977703274766,2.6196147119024182e-05,5,1.3044161618798409e-06,4.227542347559101e-06,5,15.32815240007745,3.3377597277215747,0.003630112140269299,0.0007280845342474635,0.0015687928897771292,0.0007166688016938403,0.0014949037305071761,0.0,0.0,2.3864468822770753e-05,0.0006613996571407192,2.296193535703554e-05,3.7056042502252672e-06
Alabama,0.999,MDCA,0.1,918.6,17.487138130637618,5,94.4,6.18869937870632,5,0.10277067392782493,0.006516451664834885,5,0.055209434777813746,0.0008306359754814304,5,0.11447439834092601,0.0017897589511020411,5,0.055683922410144304,0.000808452712160976,5,0.11500591348570637,0.0016658651752080535,5,0.00021598272138228944,0.0004829520469761965,5,0.00021598272138228944,0.0004829520469761965,5,0.00047448763233055977,4.676330917625147e-05,5,0.004543349310454826,0.0005230838238725234,5,0.00047253273370377515,4.3031211832868116e-05,5,1.9548986267845677e-06,5.139196308493822e-06,5,15.32815240007745,5.424634181214435,0.005711921726707693,0.0007280845342474635,0.0015687928897771292,0.0007086400466265187,0.0014601952070610019,0.0004233261339092873,0.0004233261339092873,4.098984776300768e-05,0.0004585031873389198,3.7718520206494675e-05,4.504704179839202e-06
Alabama,0.999,MDCA,0.2,918.6,17.487138130637618,5,182.8,9.497368056467012,5,0.19895783994001853,0.008658737245004102,5,0.055209434777813746,0.0008306359754814304,5,0.11447439834092601,0.0017897589511020411,5,0.056094071495431774,0.0008227346068065658,5,0.11580899302143369,0.0017058158633688923,5,0.0008729441695540828,0.0004883995214205558,5,0.0008729441695540828,0.0004883995214205558,5,0.0008846367176180231,6.610966056989783e-05,5,0.006137754359556033,0.0003195679252247759,5,0.0008895202851509291,6.0647991258401774e-05,5,-4.883567532906188e-06,7.16905205391631e-06,5,15.32815240007745,8.324810147985358,0.007589717831022266,0.0007280845342474635,0.0015687928897771292,0.0007211586792383295,0.0014952135292154143,0.00042810105578929307,0.00042810105578929307,5.794767244146178e-05,0.00028011363685861805,5.3160308211818954e-05,6.283951188902212e-06
Arizona,0.999,DMDCA,0.0,1131.8,30.979025162196436,5,0.0,0.0,5,0.0,0.0,5,0.06662982165714623,0.0011995265238053366,5,0.13459487621335908,0.003599680559897889,5,0.06662982165714623,0.0011995265238053366,5,0.13459487621335908,0.003599680559897889,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,27.154312806624286,0.0,0.0,0.001051431356432759,0.0031552591282527375,0.001051431356432759,0.0031552591282527375,0.0,0.0,0.0,0.0,0.0,0.0
Arizona,0.999,DMDCA,0.05,1131.8,30.979025162196436,5,53.0,5.0990195135927845,5,0.04687638531118601,0.004916615093490255,5,0.06662982165714623,0.0011995265238053366,5,0.13459487621335908,0.003599680559897889,5,0.06687476175737997,0.001200465069190229,5,0.13465895445351023,0.0035295034398611456,5,0.0001839926402943882,0.000411420051057919,5,0.0001839926402943882,0.000411420051057919,5,0.00024494010023373995,2.907975374673943e-05,5,0.0004188861041154432,0.0009366578036321853,5,0.0002458417811652204,2.9620577273977143e-05,5,-9.016809314804083e-07,2.8265976693775498e-06,5,27.154312806624286,4.46948766638862,0.004309603142752312,0.001051431356432759,0.0031552591282527375,0.001052254027734749,0.0030937461703927477,0.0003606255749770009,0.0003606255749770009,2.5489528009492113e-05,0.0008210167640662687,2.596358073242014e-05,2.4776220972381054e-06
