region,fixed_reliability,method,seed,p_mob,placement_trace_path,original_accepted_count,moved_count,moved_ratio,avg_original_delay,p95_original_delay,avg_updated_delay,p95_updated_delay,mobility_induced_qos_violation_ratio,updated_qos_violation_ratio,avg_delay_increment,p95_delay_increment,avg_ingress_backhaul_delay,avg_access_delay_delta
Alabama,0.999,DMDCA,2,0.1,D:\Study\Code_1\paper_data\mobility_stress\sim_runs\Alabama\R0p999\DMDCA\seed2\placement_trace_Alabama_mdca_seed2.json,1116,100,0.08960573476702509,0.06324281120816697,0.12784741125948207,0.0636160178912162,0.12784741125948207,0.0,0.0,0.00037320668304922434,0.0034833877343388104,0.0003709122206479819,2.294462401242385e-06
Alabama,0.999,DMDCA,2,0.2,D:\Study\Code_1\paper_data\mobility_stress\sim_runs\Alabama\R0p999\DMDCA\seed2\placement_trace_Alabama_mdca_seed2.json,1116,222,0.1989247311827957,0.06324281120816697,0.12784741125948207,0.06409990590485051,0.1280956286251748,0.0,0.0,0.0008570946966835451,0.005839003836510933,0.0008563368128597667,7.578838237784869e-07
Alabama,0.999,MDCA,3,0.0,D:\Study\Code_1\paper_data\mobility_stress\sim_runs\Alabama\R0p999\MDCA\seed3\placement_trace_Alabama_mdca_seed3.json,926,0,0.0,0.05513574465947336,0.11234007712137065,0.05513574465947336,0.11234007712137065,0.0,0.0,0.0,0.0,0.0,0.0
Alabama,0.999,MDCA,3,0.05,D:\Study\Code_1\paper_data\mobility_stress\sim_runs\Alabama\R0p999\MDCA\seed3\placement_trace_Alabama_mdca_seed3.json,926,49,0.052915766738660906,0.05513574465947336,0.11234007712137065,0.05537197238941085,0.11288019034993388,0.0,0.0,0.00023622772993749113,0.0014958351777869736,0.0002352652112908944,9.625186465967753e-07
Alabama,0.999,MDCA,3,0.1,D:\Study\Code_1\paper_data\mobility_stress\sim_runs\Alabama\R0p999\MDCA\seed3\placement_trace_Alabama_mdca_seed3.json,926,86,0.09287257019438445,0.05513574465947336,0.11234007712137065,0.05554763726507478,0.11338302549656819,0.0010799136069114472,0.0010799136069114472,0.00041189260560141674,0.0038625389316407407,0.00041553750076411903,-3.6448951627024657e-06
Alabama,0.999,MDCA,3,0.2,D:\Study\Code_1\paper_data\mobility_stress\sim_runs\Alabama\R0p999\MDCA\seed3\placement_trace_Alabama_mdca_seed3.json,926,181,0.19546436285097193,0.05513574465947336,0.11234007712137065,0.055933756457985186,0.11338302549656819,0.0,0.0,0.0007980117985118281,0.005687281778500929,0.0008122535298177528,-1.4241731305924749e-05
Alabama,0.999,DMDCA,3,0.0,D:\Study\Code_1\paper_data\mobility_stress\sim_runs\Alabama\R0p999\DMDCA\seed3\placement_trace_Alabama_mdca_seed3.json,1115,0,0.0,0.06327745218938509,0.12364405839580667,0.06327745218938509,0.12364405839580667,0.0,0.0,0.0,0.0,0.0,0.0
Alabama,0.999,DMDCA,3,0.05,D:\Study\Code_1\paper_data\mobility_stress\sim_runs\Alabama\R0p999\DMDCA\seed3\placement_trace_Alabama_mdca_seed3.json,1115,61,0.054708520179372194,0.06327745218938509,0.12364405839580667,0.06353962106411928,0.12375583124327244,0.0,0.0,0.00026216887473419406,0.0017707211406403779,0.00026600092654867715,-3.8320518144831925e-06
Alabama,0.999,DMDCA,3,0.1,D:\Study\Code_1\paper_data\mobility_stress\sim_runs\Alabama\R0p999\DMDCA\seed3\placement_trace_Alabama_mdca_seed3.json,1115,106,0.09506726457399103,0.06327745218938509,0.12364405839580667,0.0636783611075509,0.12364405839580667,0.0,0.0,0.0004009089181658053,0.0036114751652783546,0.00039425467641016103,6.654241755644338e-06
Alabama,0.999,DMDCA,3,0.2,D:\Study\Code_1\paper_data\mobility_stress\sim_runs\Alabama\R0p999\DMDCA\seed3\placement_trace_Alabama_mdca_seed3.json,1115,216,0.1937219730941704,0.06327745218938509,0.12364405839580667,0.06411527049272167,0.12473171791937325,0.0,0.0,0.0008378183033365917,0.005979726614823321,0.0008316365429168381,6.181760419753522e-06
