region,fixed_reliability,method,share,share_tag,acceptance_ratio_mean,acceptance_ratio_std,acceptance_ratio_count,avg_cost_per_accepted_mean,avg_cost_per_accepted_std,avg_cost_per_accepted_count,p95_e2e_delay_accepted_mean,p95_e2e_delay_accepted_std,p95_e2e_delay_accepted_count,avg_e2e_delay_accepted_mean,avg_e2e_delay_accepted_std,avg_e2e_delay_accepted_count,capacity_rejection_ratio_mean,capacity_rejection_ratio_std,capacity_rejection_ratio_count,reliability_rejection_ratio_mean,reliability_rejection_ratio_std,reliability_rejection_ratio_count,qos_rejection_ratio_mean,qos_rejection_ratio_std,qos_rejection_ratio_count,avg_split_overhead_ratio_accepted_mean,avg_split_overhead_ratio_accepted_std,avg_split_overhead_ratio_accepted_count,p95_split_overhead_ratio_accepted_mean,p95_split_overhead_ratio_accepted_std,p95_split_overhead_ratio_accepted_count,avg_split_transmitted_bits_per_accepted_mean,avg_split_transmitted_bits_per_accepted_std,avg_split_transmitted_bits_per_accepted_count,acceptance_ratio_ci95,avg_cost_per_accepted_ci95,p95_e2e_delay_accepted_ci95,avg_e2e_delay_accepted_ci95,capacity_rejection_ratio_ci95,reliability_rejection_ratio_ci95,qos_rejection_ratio_ci95,avg_split_overhead_ratio_accepted_ci95,p95_split_overhead_ratio_accepted_ci95,avg_split_transmitted_bits_per_accepted_ci95
Alabama,0.996,DMDCA,"0.5,0.5",0p5_0p5,0.96650654674,0.0111692223587647,5,58.0914703807,2.312579452515016,5,0.13184996614,0.00437878793492213,5,0.06824278628,0.0009901412567402143,5,0.023825330920000002,0.010990258070288871,5,0.0,0.0,5,0.00966812234,0.0014545295876269217,5,7.7569594694e-18,3.2589166578374844e-19,5,5.0366013578e-17,1.9852482891371864e-18,5,420459.40961653163,7767.31688052085,5,0.009790255056403284,2.0270652648035874,0.0038381768527643895,0.0008678970777000927,0.009633385941089177,0.0,0.0012749513970216652,2.856566398532971e-19,1.740146849676555e-18,6808.353430669487
Alabama,0.996,DMDCA,"0.6,0.4",0p6_0p4,0.96841872832,0.009026879291538774,5,58.13993445548,2.2487544039133622,5,0.13054536830000002,0.0027121673945630226,5,0.06767556436,0.0008838745676441241,5,0.02219655624,0.008513733713454485,5,0.00013927576,0.00031143006697794616,5,0.00924543968,0.0017330928817942382,5,0.006316262559999999,0.00022657827182934607,5,0.01932288384,0.00030948949010824704,5,337426.8156041383,5637.683975511191,5,0.007912408562461806,1.9711201430461007,0.0023773195389557526,0.000774750217799515,0.00746261663164145,0.0002729804896,0.0015191228900450662,0.00019860461186965855,0.0002712794989758852,4941.647885122473
Alabama,0.996,DMDCA,"0.7,0.3",0p7_0p3,0.9681427855999999,0.010113891017525979,5,58.180446322019996,2.283727495453701,5,0.12979136752,0.002191022160691819,5,0.06713786748,0.0008295314208914801,5,0.0224632853,0.009940252919065622,5,0.0,0.0,5,0.0093939291,0.0016691400710055876,5,0.01135273908,0.00040116203056375687,5,0.03466184722,0.0005181989967736958,5,252205.8033589426,4141.790271957884,5,0.008865216350227332,2.0017754093925686,0.0019205156006740244,0.0007271163494614532,0.008713015846304005,0.0,0.0014630657797930298,0.0003516340235703043,0.00045422144760200655,3630.4392418849025
Alabama,0.996,MDCA,none,none,0.9433845095400001,0.008859165218089687,5,61.78512079482,2.706076610885615,5,0.12483838636,0.0022037989624580515,5,0.06295811406,0.0006802210283402288,5,0.04970888912,0.008898753108231948,5,0.0,0.0,5,0.00690660136,0.001090127279551999,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.007765400695407717,2.3719807316708925,0.0019317149612094824,0.0005962400199646768,0.007800101011077719,0.0,0.0009555386908724329,0.0,0.0,0.0
Alabama,0.998,DMDCA,"0.5,0.5",0p5_0p5,0.9262003113,0.005974523611525615,5,59.917937663939995,0.43312991272771995,5,0.13002440166,0.002796070927894939,5,0.066602729,0.0006377075973686601,5,0.045399468139999996,0.005988732159265655,5,0.0,0.0,5,0.012941643320000001,0.003635984544411488,5,7.8680432568e-18,2.4818188303305447e-19,5,5.2731863898e-17,1.7466672552109196e-18,5,413481.8316785366,9180.023864176006,5,0.005236900843991137,0.37965510775551226,0.002450864228556126,0.0005589753546938826,0.005249355185205582,0.0,0.0031870809737255344,2.1754101200835743e-19,1.53102135295604e-18,8046.645698984198
Alabama,0.998,DMDCA,"0.6,0.4",0p6_0p4,0.9261933788000001,0.006999635283165459,5,59.869791263219994,0.5381124415719823,5,0.12822338500000002,0.0029791476047398235,5,0.0659535004,0.0006714602789165415,5,0.04471844578,0.009337149885969207,5,0.00041608875999999995,0.0009304027520335953,5,0.01321350942,0.003860440578084976,5,0.00636184974,8.86367357020385e-05,5,0.01985951072,0.0007986763296330918,5,329760.49313581095,9950.600638123287,5,0.006135450841858672,0.47167635156618704,0.0026113380112079343,0.0005885608845165554,0.00818437272956357,0.0008155339695999998,0.0033838253618330635,7.769352440270879e-05,0.0007000706695112119,8722.086021968187
Alabama,0.998,DMDCA,"0.7,0.3",0p7_0p3,0.92634440498,0.007021217137770375,5,59.91413010008,0.5272073549127655,5,0.12840456058,0.004122323342773863,5,0.06543280984,0.0007009064926211107,5,0.045255506880000004,0.007109096740621403,5,0.00013869626,0.000310134265584985,5,0.012802814639999998,0.0035723921932768877,5,0.01139598102,0.00017902350656190996,5,0.03560963868,0.001356909890127442,5,249164.30548005603,6425.920769226235,5,0.006154368171497703,0.4621176216585381,0.0036133757261131967,0.0006143716288417325,0.0062313980396954466,0.0002718446696,0.0031313398202910217,0.00015692102225518145,0.0011893839594373586,5632.567897942895
Alabama,0.998,MDCA,none,none,0.8922566591400001,0.006638427303561887,5,61.92180519604,0.883912731144077,5,0.12300785312,0.0037182063091046576,5,0.06121706284,0.0006926040328986598,5,0.05354022282,0.007890398705937916,5,0.0,0.0,5,0.00893607784,0.0033024436051249883,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.005818838088066343,0.7747836695821353,0.0032591515281184323,0.0006070942020283462,0.0069162394074129925,0.0,0.0028947194500242262,0.0,0.0,0.0
Alabama,0.999,DMDCA,"0.5,0.5",0p5_0p5,0.78842256178,0.0071677310785117,5,57.35495286092,1.9111731032076529,5,0.12643984408,0.0034605100270012515,5,0.06383206432,0.0014577232386777026,5,0.0017179604800000002,0.0018036616612535031,5,0.0,0.0,5,0.008809487539999999,0.0022848958266549865,5,8.0874536812e-18,9.077636010738346e-19,5,5.1120570606e-17,5.681546301550671e-18,5,443687.3196446216,13472.58086619848,5,0.006282793302908091,1.675217086412282,0.0030332707776202133,0.0012777507555932818,0.0015809791525254282,0.0,0.0020027994968432007,7.956898788444291e-19,4.9800949090512875e-18,11809.23780647965
Alabama,0.999,DMDCA,"0.6,0.4",0p6_0p4,0.7891278766800001,0.007539758841080507,5,57.36120763842,1.838864667696346,5,0.12549011646,0.003360007384058809,5,0.06322756352,0.0014826801146131897,5,0.00186184538,0.002008150202774208,5,0.0,0.0,5,0.00796028776,0.0026534388608800263,5,0.0068778743000000005,0.0002968686669225974,5,0.02001859148,0.0005638337880331599,5,356767.0202259683,13123.842212976633,5,0.006608890014623524,1.6118359481695044,0.002945176326937457,0.0012996264218636084,0.0017602212620737813,0.0,0.0023258417094903995,0.000260216859694439,0.0004942221057969138,11503.554899165247
