experiment,region,x_name,x_value,method,total_runtime_s_mean,total_runtime_s_std,total_runtime_s_count,avg_runtime_per_slot_s_mean,avg_runtime_per_slot_s_std,avg_runtime_per_slot_s_count,avg_runtime_per_arrival_ms_mean,avg_runtime_per_arrival_ms_std,avg_runtime_per_arrival_ms_count,acceptance_ratio_mean,acceptance_ratio_std,acceptance_ratio_count,avg_cost_per_accepted_mean,avg_cost_per_accepted_std,avg_cost_per_accepted_count,avg_e2e_delay_accepted_mean,avg_e2e_delay_accepted_std,avg_e2e_delay_accepted_count,p95_e2e_delay_accepted_mean,p95_e2e_delay_accepted_std,p95_e2e_delay_accepted_count,total_arrivals_mean,total_arrivals_std,total_arrivals_count,total_accepted_mean,total_accepted_std,total_accepted_count,region_cloudlet_count_mean,region_cloudlet_count_std,region_cloudlet_count_count,total_runtime_s_ci95,avg_runtime_per_slot_s_ci95,avg_runtime_per_arrival_ms_ci95,acceptance_ratio_ci95,avg_cost_per_accepted_ci95,avg_e2e_delay_accepted_ci95,p95_e2e_delay_accepted_ci95,total_arrivals_ci95,total_accepted_ci95,region_cloudlet_count_ci95
k_sweep,Arizona,cloudlet_count,50.0,DMDCA,2.631529720011167,0.08472647903839345,5,0.021929414333426395,0.0007060539919866108,5,0.7363797558321312,0.02308947624704266,5,0.20553411742,0.0061360732985395105,5,52.980057330399994,0.9049872580943823,5,0.08507549428,0.0008412094812946967,5,0.13211064564,0.0024285732120539433,5,3573.8,50.340838292583115,5,734.4,18.146625030566973,5,50.0,0.0,5,0.07426603331663102,0.0006188836109719252,0.02023881827367563,0.00537850538809863,0.7932563069251134,0.0007373526207289724,0.0021287382778711473,44.12569029488377,15.906218155174408,0.0
k_sweep,Arizona,cloudlet_count,50.0,MDCA,2.2507026799954475,0.17843305031601187,5,0.01875585566662873,0.0014869420859667654,5,0.6299635047349164,0.05227763823713771,5,0.19035052236,0.005758162599520448,5,56.8437263178,1.1436200579315152,5,0.07947457933999999,0.0006541693212645489,5,0.12595030178,0.0031602300962389296,5,3573.8,50.340838292583115,5,680.2,19.626512680555365,5,50.0,0.0,5,0.15640346453618323,0.0013033622044681936,0.04582337029814182,0.005047252055225658,1.0024271784671106,0.0005734046918878326,0.002770063813334536,44.12569029488377,17.203396873873483,0.0
k_sweep,Arizona,cloudlet_count,100.0,DMDCA,3.0110779599985107,0.0911477704980012,5,0.025092316333320923,0.00075956475415001,5,0.8411823230467149,0.017617172194208792,5,0.35819345302,0.011385973971521215,5,58.75600919832,2.1715513405172704,5,0.08059672011999999,0.0005257086925400021,5,0.12751900096,0.0012176506269282264,5,3579.2,52.94525474487779,5,1281.6,24.4601717083098,5,100.0,0.0,5,0.07989454344578353,0.0006657878620481964,0.015442132282247419,0.009980246221822952,1.9034486742987444,0.00046080398616973504,0.0010673178332654468,46.40856196867125,21.44028581899038,0.0
k_sweep,Arizona,cloudlet_count,100.0,MDCA,2.657537940016482,0.14697783598716044,5,0.022146149500137352,0.0012248152998930028,5,0.7425213304360125,0.03977038713309906,5,0.32471384024,0.010945468912922965,5,62.09467920749999,2.4397643803965,5,0.0738165072,0.0006936583807159419,5,0.11992290728000002,0.0012832554401263658,5,3579.2,52.94525474487779,5,1161.8,25.16346558008256,5,100.0,0.0,5,0.12883175352161738,0.0010735979460134775,0.03486028133546822,0.009594126513683347,2.1385477694304975,0.0006080183786377639,0.001124822987474636,46.40856196867125,22.05675007792399,0.0
k_sweep,Arizona,cloudlet_count,200.0,DMDCA,3.51820026000496,0.12624877665057016,5,0.029318335500041332,0.0010520731387547518,5,0.9933326146969913,0.03857939007821604,5,0.60166906784,0.014299695939507055,5,64.36705389174,0.963842264605541,5,0.07433221941999998,0.0003170099654762109,5,0.12012928764,0.0015863470730788556,5,3542.2,24.437675830569425,5,2131.2,51.13413732527417,5,200.0,0.0,5,0.11066193189341028,0.0009221827657784192,0.03381632638818571,0.012534236133899677,0.8448449947121675,0.00027787148628106707,0.0013904945173943588,21.420567312748744,44.821047555807965,0.0
k_sweep,Arizona,cloudlet_count,200.0,MDCA,3.1839348199893722,0.056738558014175725,5,0.026532790166578103,0.00047282131678479767,5,0.898899363013794,0.01754799084349357,5,0.5388024063,0.0073290407821671975,5,68.24868650238,1.2905895888677392,5,0.06692477754000001,0.00040013037462136725,5,0.11290183998,0.0014339425580878265,5,3542.2,24.437675830569425,5,1908.6,33.223485669026346,5,200.0,0.0,5,0.04973353888468487,0.00041444615737237366,0.01538149215468143,0.0064241874923272844,1.1312516522906138,0.0003507297372662083,0.001256906070000012,21.420567312748744,29.121669182929743,0.0
k_sweep,Arizona,cloudlet_count,314.0,DMDCA,4.74186571999453,0.08828108582928786,5,0.03951554766662109,0.0007356757152440662,5,1.3168947717051176,0.022884615864999038,5,0.77888649144,0.011050919832386197,5,67.68599952128,0.6505826170003685,5,0.07191826152,0.0007209508276145336,5,0.11797952228,0.002120276078474318,5,3601.0,49.23413450036467,5,2804.6,43.24696521144574,5,314.0,0.0,5,0.0773817835443782,0.0006448481962031517,0.02005925023153834,0.009686558319973533,0.5702608069842787,0.000631941263120481,0.0018585039254738194,43.15562165002376,37.90763638107762,0.0
k_sweep,Arizona,cloudlet_count,314.0,MDCA,4.0339142000069845,0.11467392823655392,5,0.03361595166672487,0.0009556160686379481,5,1.120220561181963,0.02776729366506574,5,0.6501078329600001,0.010951323195122572,5,66.87725812976001,1.197727698411911,5,0.06519468206,0.0006929159532780881,5,0.11107371935999999,0.0029447752253832166,5,3601.0,49.23413450036467,5,2340.8,34.16430886173469,5,314.0,0.0,5,0.1005161299232758,0.000837634416027299,0.02433910602502416,0.009599258018282797,1.0498546164558897,0.0006073676122957596,0.0025812092923063424,43.15562165002376,29.94633707150175,0.0
length_sweep,Arizona,fixed_sfc_len,1.0,DMDCA,2.7689209799980743,0.0712918756486047,5,0.023074341499983955,0.0005940989637383727,5,0.7702402867392489,0.02562505719199559,5,1.0,0.0,5,15.45174408446,0.32085841502966345,5,0.0267994263,0.0002626431877994079,5,0.056387346000000005,0.0011150352076049743,5,3597.2,122.0274559269347,5,3597.2,122.0274559269347,5,314.0,0.0,5,0.06249008423594692,0.0005207507019662234,0.02246135296497984,0.0,0.2812448010463937,0.00023021690452471356,0.0009773714524320448,106.96178113700238,106.96178113700238,0.0
length_sweep,Arizona,fixed_sfc_len,1.0,MDCA,2.686744379985612,0.08307871494052675,5,0.0223895364998801,0.0006923226245043911,5,0.7474965473494104,0.03180295056840269,5,1.0,0.0,5,16.69413398998,0.3340988175408225,5,0.024045908999999997,0.00025505233690777194,5,0.05367812246,0.0016265111225611402,5,3597.2,122.0274559269347,5,3597.2,122.0274559269347,5,314.0,0.0,5,0.07282170440341533,0.0006068475366951281,0.02787651526755751,0.0,0.292850525551642,0.00022356323035321396,0.00142569985899283,106.96178113700238,106.96178113700238,0.0
