scale,J,K,L,M,seed,status,lower_bound,opt_cost,mdca_cost,mdca_opt_ratio,runtime_s,nodes,mdca_feasible,sanity_lb_le_opt,sanity_opt_le_mdca,incumbent_cost,capacity_total,min_unit_cost
3x5x2,3,5,2,2,0,solved,65.11187749490188,79.3572497426398,92.01600505243286,1.159516053679357,0.03523570002289489,27186,True,True,True,,2730,0.024167650678669744
3x5x2,3,5,2,2,1,solved,64.6970730074815,117.45493174104907,119.33987289888063,1.0160482078520743,0.3479380000208039,374677,True,True,True,,4707,0.011968161023961397
3x5x2,3,5,2,2,2,solved,50.84968682207436,76.91488278822558,82.34947259652887,1.0706571941774476,0.5685041999968234,572352,True,True,True,,3492,0.010773573238713485
3x5x2,3,5,2,2,3,solved,49.45456710709318,68.69470117552801,69.89826933082853,1.0175205384797463,0.0625927000073716,43335,True,True,True,,2493,0.014330751412293164
3x5x2,3,5,2,2,4,solved,67.41667057205949,78.75925694821898,,,0.012956099992152303,11812,False,True,False,,2586,0.023741071914301873
3x5x2,3,5,2,2,5,solved,50.73653021386344,91.69973801340154,97.18320306779111,1.059798044936488,8.98627100000158,6007748,True,True,True,,3050,0.01139793189276503
3x5x2,3,5,2,2,6,solved,38.120861181122336,39.97901472489649,44.463660345276296,1.1121749910856868,0.0038009000127203763,2726,True,True,True,,2077,0.015042850475681414
3x5x2,3,5,2,2,7,solved,66.4651687624534,75.68119861583415,78.94745265521615,1.0431580643425307,0.024743300018599257,21626,True,True,True,,2164,0.028380255157586395
3x5x2,3,5,2,2,8,solved,99.14447861686476,113.20679627286287,121.88285744053952,1.076639048655389,0.01833479999913834,11675,True,True,True,,3233,0.031672139520232706
3x5x2,3,5,2,2,9,solved,33.98969566866303,51.77684616046038,52.6401822868215,1.016674173696976,0.24806660000467673,141662,True,True,True,,2243,0.010256382935383713
5x5x2,5,5,2,2,0,timeout,82.65920727069131,,133.215462103302,,30.03161080001155,18608128,True,False,False,127.27011910106663,4626,0.01322165125267535
5x5x2,5,5,2,2,1,solved,106.53929452144973,119.13466877550924,122.88072333286935,1.0314438659700222,27.645564800011925,15767596,True,True,True,,4039,0.023257289137608606
5x5x2,5,5,2,2,2,solved,91.44521784914132,114.67806577892213,114.77201315943715,1.0008192271109293,21.29783709999174,9629889,True,True,True,,4246,0.019231695147674616
5x5x2,5,5,2,2,3,timeout,85.1455245006878,,111.86318987723135,,30.000273200013908,19570688,True,False,False,105.38078873491257,5052,0.0146810841162121
5x5x2,5,5,2,2,4,timeout,122.56483385060184,,182.22851225724833,,30.00093099998776,28332032,True,False,False,167.57066989192873,6644,0.017763096086900944
5x5x2,5,5,2,2,5,timeout,141.65495406988126,,163.76873485196774,,30.012246900005266,23883776,True,False,False,160.6872707659594,5446,0.02794021678320468
5x5x2,5,5,2,2,6,timeout,97.77020578078532,,152.3139579709204,,30.002400500001386,30601216,True,False,False,149.08800575642806,5133,0.016216908842421978
5x5x2,5,5,2,2,7,timeout,80.51956053530081,,127.62204807063189,,30.000771199993324,23044096,True,False,False,125.37641311017003,4141,0.013220085003360787
5x5x2,5,5,2,2,8,timeout,75.86259802726097,,104.92566839879619,,30.000325800006976,24965120,True,False,False,98.79046519203075,3583,0.015256048843754
5x5x2,5,5,2,2,9,solved,59.084099233608505,82.2239824191388,88.73182239415853,1.0791477107232028,19.227739800000563,14784947,True,True,True,,3393,0.013672680917228567
5x8x3,5,8,3,2,0,timeout,172.78203202461586,,242.5117699879932,,30.002668800007086,28815360,True,False,False,237.22919961678176,7911,0.019104773889013136
5x8x3,5,8,3,2,1,timeout,119.01320432437056,,176.49148762070803,,30.00113339998643,24707072,True,False,False,163.99402900348554,7949,0.014008854283999752
5x8x3,5,8,3,2,2,timeout,191.58252259188578,,236.1997657218423,,30.003569900000002,20148224,True,False,False,228.82153603926838,8710,0.02274016285409025
5x8x3,5,8,3,2,3,timeout,210.32218466053084,,219.6909123199528,,30.012422400002833,16826368,True,False,False,219.31822189403985,6979,0.03142125138608805
5x8x3,5,8,3,2,4,timeout,117.19851453222819,,163.94033159133747,,30.001922399998875,23150592,True,False,False,158.72924853610212,6869,0.014144371253723188
5x8x3,5,8,3,2,5,timeout,105.90422732739444,,164.21406438145786,,30.00261860000319,21053440,True,False,False,161.4998947040718,5762,0.013342140053316399
5x8x3,5,8,3,2,6,timeout,110.23754137843116,,181.9160181884733,,30.000579300016398,31657984,True,False,False,179.4170188916268,6810,0.012941388886814353
5x8x3,5,8,3,2,7,timeout,124.58104115349862,,157.34874816146058,,30.000289200019324,25444352,True,False,False,149.6647152321838,8935,0.011778074616041004
5x8x3,5,8,3,2,8,timeout,136.45666044717984,,195.29891839214832,,30.003451600001426,34000896,True,False,False,194.7001506416494,7751,0.014893109175179477
5x8x3,5,8,3,2,9,timeout,112.15012237884477,,186.71949782771304,,30.00012820001575,27975680,True,False,False,180.9185515470763,7045,0.012044597360241233
