region,fixed_reliability,seed,method,share,share_tag,domain_count,domain_failure_prob,total_accepted,expected_target_satisfaction_ratio,expected_reliability,expected_reliability_loss
Alabama,0.95,2,DMDCA,"0.5,0.5",0p5_0p5,6,0.03,1403,0.9163769882296432,0.9371662146253268,0.0377147729278078
Alabama,0.95,2,DMDCA,"0.5,0.5",0p5_0p5,6,0.05,1403,0.8638565091544901,0.9118601127548148,0.0630208747983199
Alabama,0.95,2,MDCA,none,none,6,0.0,1407,1.0,0.9738665253910462,-7.771561172376097e-16
Alabama,0.95,2,MDCA,none,none,6,0.01,1407,0.9719031902435056,0.9603930710060926,0.0134734543849528
Alabama,0.95,2,MDCA,none,none,6,0.03,1407,0.917626164655684,0.9334403659389224,0.0404261594521229
Alabama,0.95,2,MDCA,none,none,6,0.05,1407,0.8658268493692257,0.9065016431377402,0.0673648822533052
Alabama,0.95,3,DMDCA,"0.5,0.5",0p5_0p5,6,0.0,1464,1.0,0.9759409361143158,1.9984014443252818e-15
Alabama,0.95,3,DMDCA,"0.5,0.5",0p5_0p5,6,0.01,1464,0.9717602226204956,0.9637781136005392,0.0121628225137785
Alabama,0.95,3,DMDCA,"0.5,0.5",0p5_0p5,6,0.03,1464,0.9172009282988888,0.9392869135400684,0.0366540225742493
Alabama,0.95,3,DMDCA,"0.5,0.5",0p5_0p5,6,0.05,1464,0.8651264780353479,0.9146028014949088,0.0613381346194089
Alabama,0.95,3,MDCA,none,none,6,0.0,1467,1.0,0.9740289805719468,2.220446049250313e-15
Alabama,0.95,3,MDCA,none,none,6,0.01,1467,0.9717112634509268,0.9604215393436502,0.0136074412282988
Alabama,0.95,3,MDCA,none,none,6,0.03,1467,0.9171022476169464,0.9331986911990237,0.0408302893729254
Alabama,0.95,3,MDCA,none,none,6,0.05,1467,0.8650362187819524,0.905987874062552,0.0680411065093971
Alabama,0.95,4,DMDCA,"0.5,0.5",0p5_0p5,6,0.0,1434,1.0,0.9754069261760692,9.992007221626409e-16
Alabama,0.95,4,DMDCA,"0.5,0.5",0p5_0p5,6,0.01,1434,0.9715747114515438,0.9632468979789632,0.0121600281971069
Alabama,0.95,4,DMDCA,"0.5,0.5",0p5_0p5,6,0.03,1434,0.9166878849056525,0.938785577847671,0.036621348328399
Alabama,0.95,4,DMDCA,"0.5,0.5",0p5_0p5,6,0.05,1434,0.8643389765733962,0.9141617354099242,0.0612451907661458
Alabama,0.95,4,MDCA,none,none,6,0.0,1443,1.0,0.9738039496707228,1.1102230246251563e-16
Alabama,0.95,4,MDCA,none,none,6,0.01,1443,0.9713813306236404,0.9599970654161478,0.0138068842545751
Alabama,0.95,4,MDCA,none,none,6,0.03,1443,0.9161562148545924,0.9323976613507496,0.0414062883199732
Alabama,0.95,4,MDCA,none,none,6,0.05,1443,0.8635294567849101,0.904839855443884,0.068964094226839
Alabama,0.95,5,DMDCA,"0.5,0.5",0p5_0p5,6,0.0,1452,1.0,0.9754123873396776,-1.887379141862766e-15
Alabama,0.95,5,DMDCA,"0.5,0.5",0p5_0p5,6,0.01,1452,0.9717152269352044,0.9633018238401374,0.0121105634995382
Alabama,0.95,5,DMDCA,"0.5,0.5",0p5_0p5,6,0.03,1452,0.9170945737314684,0.9389104885587746,0.036501898780901
Alabama,0.95,5,DMDCA,"0.5,0.5",0p5_0p5,6,0.05,1452,0.8649923510352099,0.9143205428730848,0.0610918444665907
Alabama,0.95,5,MDCA,none,none,6,0.0,1457,1.0,0.9735355362194446,-1.4432899320127037e-15
Alabama,0.95,5,MDCA,none,none,6,0.01,1457,0.971674868167888,0.9600563272956002,0.0134792089238429
Alabama,0.95,5,MDCA,none,none,6,0.03,1457,0.9170055081916796,0.933069677980151,0.0404658582392921
Alabama,0.95,5,MDCA,none,none,6,0.05,1457,0.8648941503624742,0.9060699685407014,0.0674655676787416
Alabama,0.99,1,DMDCA,"0.5,0.5",0p5_0p5,6,0.0,1388,1.0,0.9940533672896392,-2.220446049250313e-16
Alabama,0.99,1,DMDCA,"0.5,0.5",0p5_0p5,6,0.01,1388,0.9669786831768244,0.9853948942532228,0.0086584730364163
Alabama,0.99,1,DMDCA,"0.5,0.5",0p5_0p5,6,0.03,1388,0.9036270631466342,0.9675608406819768,0.0264925266076622
Alabama,0.99,1,DMDCA,"0.5,0.5",0p5_0p5,6,0.05,1388,0.8437327484690198,0.9490680800217328,0.0449852872679062
Alabama,0.99,1,MDCA,none,none,6,0.0,1384,1.0,0.9940843043854236,-3.3306690738754696e-16
Alabama,0.99,1,MDCA,none,none,6,0.01,1384,0.967660469186014,0.9842867643102012,0.009797540075222
Alabama,0.99,1,MDCA,none,none,6,0.03,1384,0.9056178497886902,0.9642792326201204,0.0298050717653026
Alabama,0.99,1,MDCA,none,none,6,0.05,1384,0.846958981247742,0.943750986745966,0.0503333176394572
Alabama,0.99,2,DMDCA,"0.5,0.5",0p5_0p5,6,0.0,1378,1.0,0.9940124425357604,6.661338147750939e-16
Alabama,0.99,2,DMDCA,"0.5,0.5",0p5_0p5,6,0.01,1378,0.9672262017088132,0.9851317088581908,0.0088807336775701
Alabama,0.99,2,DMDCA,"0.5,0.5",0p5_0p5,6,0.03,1378,0.9043511836169634,0.9668724320430792,0.0271400104926817
Alabama,0.99,2,DMDCA,"0.5,0.5",0p5_0p5,6,0.05,1378,0.8449079166364295,0.947980480676682,0.0460319618590788
Alabama,0.99,2,MDCA,none,none,6,0.0,1377,1.0,0.9940572906737272,6.661338147750939e-16
Alabama,0.99,2,MDCA,none,none,6,0.01,1377,0.9676944163089608,0.984392024282246,0.0096652663914819
Alabama,0.99,2,MDCA,none,none,6,0.03,1377,0.9057046746380762,0.9646292378353912,0.0294280528383366
Alabama,0.99,2,MDCA,none,none,6,0.05,1377,0.8470812853917025,0.9443203108917902,0.0497369797819375
Alabama,0.99,3,DMDCA,"0.5,0.5",0p5_0p5,6,0.0,1368,1.0,0.9940301904058352,-1.2212453270876722e-15
Alabama,0.99,3,DMDCA,"0.5,0.5",0p5_0p5,6,0.01,1368,0.9662647751877566,0.985394414008104,0.0086357763977297
Alabama,0.99,3,DMDCA,"0.5,0.5",0p5_0p5,6,0.03,1368,0.9016239330552476,0.9675924441023732,0.0264377463034606
Alabama,0.99,3,DMDCA,"0.5,0.5",0p5_0p5,6,0.05,1368,0.8406123196614583,0.9491148175197824,0.0449153728860513
Alabama,0.99,3,MDCA,none,none,6,0.0,1359,1.0,0.9940585425061088,-8.881784197001252e-16
Alabama,0.99,3,MDCA,none,none,6,0.01,1359,0.967079469863384,0.9843807471074814,0.0096777953986264
Alabama,0.99,3,MDCA,none,none,6,0.03,1359,0.9039615082511632,0.9645956072257216,0.0294629352803863
Alabama,0.99,3,MDCA,none,none,6,0.05,1359,0.8443378230661333,0.9442673550080788,0.049791187498029
Alabama,0.99,4,DMDCA,"0.5,0.5",0p5_0p5,6,0.0,1417,1.0,0.9940937015866836,8.881784197001252e-16
Alabama,0.99,4,DMDCA,"0.5,0.5",0p5_0p5,6,0.01,1417,0.9673013846287472,0.9854034396453086,0.0086902619413757
Alabama,0.99,4,DMDCA,"0.5,0.5",0p5_0p5,6,0.03,1417,0.9045392342259806,0.9675021211918126,0.0265915803948718
Alabama,0.99,4,DMDCA,"0.5,0.5",0p5_0p5,6,0.05,1417,0.8451638388210125,0.9489388315436572,0.045154870043027
Alabama,0.99,4,MDCA,none,none,6,0.0,1403,1.0,0.9941447820104484,9.992007221626409e-16
Alabama,0.99,4,MDCA,none,none,6,0.01,1403,0.9676500290470014,0.9845852937008872,0.0095594883095623
Alabama,0.99,4,MDCA,none,none,6,0.03,1403,0.9055961962831915,0.9650165963312792,0.02912818567917
Alabama,0.99,4,MDCA,none,none,6,0.05,1403,0.8469380637696006,0.9448798508794632,0.0492649311309862
Alabama,0.99,5,DMDCA,"0.5,0.5",0p5_0p5,6,0.0,1423,1.0,0.9942409913136224,-1.1102230246251563e-16
Alabama,0.99,5,DMDCA,"0.5,0.5",0p5_0p5,6,0.01,1423,0.9667327950932888,0.9855947774062292,0.0086462139073931
Alabama,0.99,5,DMDCA,"0.5,0.5",0p5_0p5,6,0.03,1423,0.9029625596609628,0.9677907461639856,0.0264502451496365
Alabama,0.99,5,DMDCA,"0.5,0.5",0p5_0p5,6,0.05,1423,0.8427385847461345,0.9493346784618496,0.0449063128517726
Alabama,0.99,5,MDCA,none,none,6,0.0,1408,1.0,0.994268617869252,0.0
Alabama,0.99,5,MDCA,none,none,6,0.01,1408,0.9672712835943514,0.9847656604779232,0.0095029573913286
Alabama,0.99,5,MDCA,none,none,6,0.03,1408,0.904512826298766,0.9652936404605218,0.0289749774087301
Alabama,0.99,5,MDCA,none,none,6,0.05,1408,0.8452176425670275,0.9452332892336828,0.0490353286355692
Alabama,0.996,1,DMDCA,"0.5,0.5",0p5_0p5,6,0.0,1408,1.0,0.9978519162410884,1.1102230246251563e-15
Alabama,0.996,1,DMDCA,"0.5,0.5",0p5_0p5,6,0.01,1408,0.9651836023043204,0.9908372184670436,0.0070146977740457
Alabama,0.996,1,DMDCA,"0.5,0.5",0p5_0p5,6,0.03,1408,0.8986211515693937,0.9762295154423088,0.0216224007987805
Alabama,0.996,1,DMDCA,"0.5,0.5",0p5_0p5,6,0.05,1408,0.8359860369651095,0.9608721803981036,0.0369797358429856
Alabama,0.996,1,MDCA,none,none,6,0.0,1374,1.0,0.997872376368451,1.3322676295501878e-15
Alabama,0.996,1,MDCA,none,none,6,0.01,1374,0.9658438789610444,0.989924294132975,0.0079480822354773
Alabama,0.996,1,MDCA,none,none,6,0.03,1374,0.9005124106165546,0.9734996462640824,0.0243727301043701
Alabama,0.996,1,MDCA,none,none,6,0.05,1374,0.8389951891602985,0.9563947105046252,0.0414776658638272
Alabama,0.996,2,DMDCA,"0.5,0.5",0p5_0p5,6,0.0,1383,1.0,0.99786428175221,-1.3322676295501878e-15
Alabama,0.996,2,DMDCA,"0.5,0.5",0p5_0p5,6,0.01,1383,0.9653112947037334,0.9906760258192616,0.007188255932947
Alabama,0.996,2,DMDCA,"0.5,0.5",0p5_0p5,6,0.03,1383,0.8989639046562017,0.975743215153439,0.0221210665987696
Alabama,0.996,2,DMDCA,"0.5,0.5",0p5_0p5,6,0.05,1383,0.8364954435895696,0.960088854187894,0.0377754275643147
Alabama,0.996,2,MDCA,none,none,6,0.0,1347,1.0,0.997867425293766,-5.551115123125784e-16
Alabama,0.996,2,MDCA,none,none,6,0.01,1347,0.9658213884101424,0.9900448484686112,0.0078225768251544
