region,fixed_reliability,method,share,share_tag,domain_count,domain_failure_prob,total_accepted_mean,total_accepted_std,total_accepted_count,expected_target_satisfaction_ratio_mean,expected_target_satisfaction_ratio_std,expected_target_satisfaction_ratio_count,expected_reliability_mean,expected_reliability_std,expected_reliability_count,expected_reliability_loss_mean,expected_reliability_loss_std,expected_reliability_loss_count,total_accepted_ci95,expected_target_satisfaction_ratio_ci95,expected_reliability_ci95,expected_reliability_loss_ci95
Alabama,0.9,DMDCA,"0.5,0.5",0p5_0p5,6,0.0,1431.6,36.63741257239655,5,1.0,0.0,5,0.93290197433759,0.000481110174273311,5,4.662936703425658e-16,9.691426702394066e-16,5,32.11410805238096,0.0,0.00042171166130203225,8.494910050959823e-16
Alabama,0.9,DMDCA,"0.5,0.5",0p5_0p5,6,0.01,1431.6,36.63741257239655,5,0.97458933092552,0.0004226464026005973,5,0.9179800373544728,0.0005960962544940804,5,0.0149219369831177,0.00015840810447011,5,32.11410805238096,0.00037046590597096714,0.0005225014045032777,0.0001388508255945653
Alabama,0.9,DMDCA,"0.5,0.5",0p5_0p5,6,0.03,1431.6,36.63741257239655,5,0.9253005297714368,0.0012028393836543013,5,0.8883495441845278,0.0008395318511287507,5,0.04455243015306262,0.0004426324962536829,5,32.11410805238096,0.001054335206123048,0.000735882113052833,0.0003879844894640738
Alabama,0.9,DMDCA,"0.5,0.5",0p5_0p5,6,0.05,1431.6,36.63741257239655,5,0.8780015171184239,0.0019005472852150634,5,0.8590177619954339,0.0010647655666260938,5,0.07388421234215661,0.0006856858139625686,5,32.11410805238096,0.0016659031462838555,0.000933308169334204,0.000601030115761211
Alabama,0.9,MDCA,none,none,6,0.0,1436.2,36.3001377407855,5,1.0,0.0,5,0.9329146976153224,0.0004910224468448213,5,9.992007221626409e-16,1.2971092472944172e-15,5,31.818473627752798,0.0,0.0004304001512923345,1.1369663848680096e-15
Alabama,0.9,MDCA,none,none,6,0.01,1436.2,36.3001377407855,5,0.9748335203428595,0.00041788421306733286,5,0.9171726577374075,0.0006023184344363895,5,0.01574203987791566,0.00019777079496883417,5,31.818473627752798,0.0003662916627998849,0.0005279553856924005,0.00017335374507367851
Alabama,0.9,MDCA,none,none,6,0.03,1436.2,36.3001377407855,5,0.9260172776906203,0.0011949849444172942,5,0.8860014432464313,0.0008894309319347828,5,0.0469132543688919,0.0005674410120364672,5,31.818473627752798,0.0010474504865799056,0.0007796205858380773,0.0004973839770448484
Alabama,0.9,MDCA,none,none,6,0.05,1436.2,36.3001377407855,5,0.8791688662684682,0.0018977934746008446,5,0.8552574692095194,0.0011866352754281541,5,0.0776572284058038,0.0009047082291544624,5,31.818473627752798,0.0016634893248535277,0.0010401316790197791,0.0007930117272755948
Alabama,0.95,DMDCA,"0.5,0.5",0p5_0p5,6,0.0,1432.6,26.225941355840774,5,1.0,0.0,5,0.9754577178805155,0.0003894591023603458,5,-8.881784197001257e-17,1.6286634992550342e-15,5,22.988051157068533,0.0,0.0003413759547148406,1.4275865003483182e-15
Alabama,0.95,DMDCA,"0.5,0.5",0p5_0p5,6,0.01,1432.6,26.225941355840774,5,0.9716155828440272,0.00012070536517093214,5,0.9631971803200606,0.000521172461031544,5,0.012260537560454681,0.00017494054170813888,5,22.988051157068533,0.00010580291749426612,0.00045682780394003546,0.00015334214576577363
