section,experiment,region,x_name,x_value,method,algo,acceptance_ratio_mean,acceptance_ratio_std,acceptance_ratio_count,avg_cost_per_accepted_mean,avg_cost_per_accepted_std,avg_cost_per_accepted_count,p95_e2e_delay_accepted_mean,p95_e2e_delay_accepted_std,p95_e2e_delay_accepted_count,qos_rejection_ratio_mean,qos_rejection_ratio_std,qos_rejection_ratio_count,avg_e2e_delay_accepted_mean,avg_e2e_delay_accepted_std,avg_e2e_delay_accepted_count,final_utilization_mean,final_utilization_std,final_utilization_count,total_arrivals_mean,total_arrivals_std,total_arrivals_count,total_accepted_mean,total_accepted_std,total_accepted_count,acceptance_ratio_ci95,avg_cost_per_accepted_ci95,p95_e2e_delay_accepted_ci95,qos_rejection_ratio_ci95,avg_e2e_delay_accepted_ci95,final_utilization_ci95,total_arrivals_ci95,total_accepted_ci95
split_enabled,length,Alabama,fixed_sfc_len,1.0,DMDCA,mdca,1.0,0.0,5,8.22497748692,0.3275309447106135,5,0.05433214422,0.0013405089315211196,5,0.0,0.0,5,0.0252500193,0.0003296723776175151,5,0.30718905182,0.041828619725041906,5,2391.4,38.017101415021116,5,2391.4,38.017101415021116,5,0.0,0.28709353118620157,0.0011750078853681187,0.0,0.00028897057988944364,0.03666440174719145,33.323458644024335,33.323458644024335
split_enabled,length,Alabama,fixed_sfc_len,1.0,MDCA,mdca,1.0,0.0,5,8.76719399276,0.3685551177024849,5,0.0527722794,0.0016229759296430765,5,0.0,0.0,5,0.02406286262,0.00035003617326941663,5,0.32728901634,0.0478026217929796,5,2391.4,38.017101415021116,5,2391.4,38.017101415021116,5,0.0,0.32305280428217137,0.0014226011257749112,0.0,0.00030682023378160965,0.04190084543807158,33.323458644024335,33.323458644024335
split_enabled,length,Alabama,fixed_sfc_len,2.0,DMDCA,mdca,0.99890694872,0.0010946260994849925,5,22.56357889144,0.5180328691789217,5,0.08738704325999999,0.0009589620010848011,5,0.00109305128,0.0010946260994850214,5,0.04651807486,0.0004487761752441115,5,0.6444571501599999,0.07468497118131814,5,2378.2,50.874355032766736,5,2375.6,50.8900776183334,5,0.000959482080410405,0.4540758303448232,0.0008405672551278181,0.0009594820804104304,0.00039336966153505104,0.06546426360394374,44.59333833657218,44.60711979045495
split_enabled,length,Alabama,fixed_sfc_len,2.0,MDCA,mdca,0.9993271180000001,0.00037560429175330986,5,24.61625367496,0.5252076013695195,5,0.08307934002,0.0007325700735406097,5,0.000672882,0.00037560429175324925,5,0.04333848672,0.00043058446571351514,5,0.70123923918,0.07804869093263868,5,2378.2,50.874355032766736,5,2376.6,50.875337836716135,5,0.00032923167776841727,0.460364760393048,0.0006421259812257787,0.00032923167776836414,0.00037742392507321215,0.0684126939642586,44.59333833657218,44.59419980221644
split_enabled,length,Alabama,fixed_sfc_len,3.0,DMDCA,mdca,0.93932940246,0.004951133387183617,5,39.10125909742,0.9506675199706647,5,0.11502806028000001,0.0023506670558197545,5,0.00597708624,0.0006923738734078962,5,0.06889259836,0.0004545261205569497,5,0.94296100966,0.029230674087217058,5,2409.6,67.88077783879615,5,2263.4,64.6629724030685,5,0.00433985976120925,0.8332968218729736,0.002060450521078647,0.0006068924583396767,0.00039840971082092476,0.02562181552056631,59.500125176338905,56.67959435281799
split_enabled,length,Alabama,fixed_sfc_len,3.0,MDCA,mdca,0.8963115703,0.007286128226470661,5,41.0775908507,1.1698056340560234,5,0.11015926108,0.0020377261493433906,5,0.00438590652,0.001096124743637665,5,0.06508780766,0.0005481300540936716,5,0.9549913590999999,0.00938621752755872,5,2409.6,67.88077783879615,5,2159.4,45.703391559051724,5,0.0063865729788100045,1.0253798479389122,0.001786145722268598,0.0009607956999285929,0.00048045717609392183,0.008227382413742748,59.500125176338905,40.06078900870526
split_enabled,length,Alabama,fixed_sfc_len,4.0,DMDCA,mdca,0.77093223828,0.014121649831019155,5,53.133445640240005,0.7360035341316015,5,0.14438685708000001,0.0016216652443858245,5,0.0184512442,0.0009546867886227084,5,0.0927608526,0.0005882142316102448,5,0.96790386412,0.005665728262852013,5,2428.0,26.532998322843202,5,1871.8,38.52531635171865,5,0.01237817183883004,0.6451355421273521,0.001421452259492641,0.0008368198661798887,0.0005155925068276187,0.004966229786809328,23.257198455532,33.76892867711382
split_enabled,length,Alabama,fixed_sfc_len,4.0,MDCA,mdca,0.71942561616,0.01429660023977344,5,55.32927680362,0.9024451191128394,5,0.13976677924,0.0016595241356451408,5,0.01474736838,0.0008358978768015042,5,0.08854531773999999,0.000550750852880018,5,0.9606277933799999,0.006760808726865271,5,2428.0,26.532998322843202,5,1746.8,41.61369966729707,5,0.012531522633443096,0.7910280238612878,0.0014546370408208137,0.0007326967941121558,0.0004827544075166368,0.005926110135288665,23.257198455532,36.476016010523956
split_enabled,length,Alabama,fixed_sfc_len,5.0,DMDCA,mdca,0.64073938246,0.011618400683177512,5,66.01199500816,1.781306434505622,5,0.17137884168,0.0025599862015293637,5,0.0393810153,0.0023792511853467984,5,0.11613867712,0.001320568267733722,5,0.96604240528,0.010758883809406697,5,2420.8,50.24639290536192,5,1551.0,37.762415176998395,5,0.010183977217226647,1.5613839323144403,0.002243926841887804,0.0020855056153050978,0.0011575291229080438,0.009430577459463263,44.04290526293654,33.10021631349255
split_enabled,length,Alabama,fixed_sfc_len,5.0,MDCA,mdca,0.59642163918,0.012930744086837278,5,69.292612206,1.9126514412576494,5,0.167266716,0.002993163866256068,5,0.030289567380000004,0.0023739289695019128,5,0.11077179058,0.0014496311302087557,5,0.9642955002400001,0.008437636466272339,5,2420.8,50.24639290536192,5,1443.8,42.25754370523684,5,0.011334296928906066,1.6765129068466995,0.002623623806115905,0.0020808404874284223,0.0012706577097830777,0.007395914453542296,44.04290526293654,37.04037019253454
