section,experiment,region,x_name,x_value,method,algo,acceptance_ratio_mean,acceptance_ratio_std,acceptance_ratio_count,avg_cost_per_accepted_mean,avg_cost_per_accepted_std,avg_cost_per_accepted_count,total_cost_resource_mean,total_cost_resource_std,total_cost_resource_count,p95_e2e_delay_accepted_mean,p95_e2e_delay_accepted_std,p95_e2e_delay_accepted_count,qos_rejection_ratio_mean,qos_rejection_ratio_std,qos_rejection_ratio_count,avg_e2e_delay_accepted_mean,avg_e2e_delay_accepted_std,avg_e2e_delay_accepted_count,final_utilization_mean,final_utilization_std,final_utilization_count,avg_utilization_over_time_mean,avg_utilization_over_time_std,avg_utilization_over_time_count,avg_transmitted_bits_per_accepted_mean,avg_transmitted_bits_per_accepted_std,avg_transmitted_bits_per_accepted_count,avg_split_transmitted_bits_per_accepted_mean,avg_split_transmitted_bits_per_accepted_std,avg_split_transmitted_bits_per_accepted_count,avg_split_overhead_ratio_accepted_mean,avg_split_overhead_ratio_accepted_std,avg_split_overhead_ratio_accepted_count,total_arrivals_mean,total_arrivals_std,total_arrivals_count,total_accepted_mean,total_accepted_std,total_accepted_count,acceptance_ratio_ci95,avg_cost_per_accepted_ci95,total_cost_resource_ci95,p95_e2e_delay_accepted_ci95,qos_rejection_ratio_ci95,avg_e2e_delay_accepted_ci95,final_utilization_ci95,avg_utilization_over_time_ci95,avg_transmitted_bits_per_accepted_ci95,avg_split_transmitted_bits_per_accepted_ci95,avg_split_overhead_ratio_accepted_ci95,total_arrivals_ci95,total_accepted_ci95
split_enabled,length,Alabama,fixed_sfc_len,1.0,DMDCA,mdca,1.0,0.0,5,8.22497748692,0.3275309447106135,5,12504.840975462941,936.2332380796313,5,0.05433214422,0.0013405089315211196,5,0.0,0.0,5,0.0252500193,0.0003296723776175151,5,0.30718905182,0.041828619725041906,5,0.28595704458000004,0.0144194572691075,5,115659.98058049688,5165.58580868187,5,115659.98058049688,5165.58580868187,5,2.7915457032e-18,4.357099577673739e-19,5,2391.4,38.017101415021116,5,2391.4,38.017101415021116,5,0.0,0.28709353118620157,820.6446159511936,0.0011750078853681187,0.0,0.00028897057988944364,0.03666440174719145,0.012639211567732116,4527.835596633787,4527.835596633787,3.8191661694423293e-19,33.323458644024335,33.323458644024335
split_enabled,length,Alabama,fixed_sfc_len,1.0,MDCA,mdca,1.0,0.0,5,8.76719399276,0.3685551177024849,5,13802.34720422526,1049.5362055030798,5,0.0527722794,0.0016229759296430765,5,0.0,0.0,5,0.02406286262,0.00035003617326941663,5,0.32728901634,0.0478026217929796,5,0.30632793352,0.01599715378127243,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,2391.4,38.017101415021116,5,2391.4,38.017101415021116,5,0.0,0.32305280428217137,919.9590457380135,0.0014226011257749112,0.0,0.00030682023378160965,0.04190084543807158,0.014022123534165638,0.0,0.0,0.0,33.323458644024335,33.323458644024335
split_enabled,length,Alabama,fixed_sfc_len,1.0,PVFP-FDRL,pvfp_fdrl,1.0,0.0,5,12.0556726622,0.5806297918145069,5,21396.79547233722,1359.2843423735972,5,0.054171042940000004,0.0018779196014997684,5,0.0,0.0,5,0.025193343820000002,0.00037625743384684285,5,0.31450768308,0.0324677767959638,5,0.28109862312,0.008375088517312928,5,112062.33775114009,4295.099785005046,5,112062.33775114009,4295.099785005046,5,2.5922613206e-18,3.6912095597252573e-19,5,2362.0,26.372333988481188,5,2362.0,26.372333988481188,5,0.0,0.5089444522294451,1191.4652585969966,0.0016460691070112566,0.0,0.00032980418205549893,0.028459261149673627,0.007341088758977534,3764.8209550510774,3764.8209550510774,3.2354878339391562e-19,23.11636995724026,23.11636995724026
split_enabled,length,Alabama,fixed_sfc_len,2.0,DMDCA,mdca,0.99890694872,0.0010946260994849925,5,22.56357889144,0.5180328691789217,5,37608.7935586131,1053.760824518034,5,0.08738704325999999,0.0009589620010848011,5,0.00109305128,0.0010946260994850214,5,0.04651807486,0.0004487761752441115,5,0.6444571501599999,0.07468497118131814,5,0.6016583227,0.008037942785545305,5,894367.8219564374,15636.286989656059,5,251840.43676539417,9037.633747523814,5,5.9172227644e-18,3.8609224465030586e-19,5,2378.2,50.874355032766736,5,2375.6,50.8900776183334,5,0.000959482080410405,0.4540758303448232,923.662087574232,0.0008405672551278181,0.0009594820804104304,0.00039336966153505104,0.06546426360394374,0.0070455674953514595,13705.809844830066,7921.835258762092,3.3842477381243686e-19,44.59333833657218,44.60711979045495
split_enabled,length,Alabama,fixed_sfc_len,2.0,MDCA,mdca,0.9993271180000001,0.00037560429175330986,5,24.61625367496,0.5252076013695195,5,42706.081052976,930.9782956558939,5,0.08307934002,0.0007325700735406097,5,0.000672882,0.00037560429175324925,5,0.04333848672,0.00043058446571351514,5,0.70123923918,0.07804869093263868,5,0.65355345804,0.009792520866800927,5,599470.8056917172,14669.970309292577,5,0.0,0.0,5,0.0,0.0,5,2378.2,50.874355032766736,5,2376.6,50.875337836716135,5,0.00032923167776841727,0.460364760393048,816.0384558280825,0.0006421259812257787,0.00032923167776836414,0.00037742392507321215,0.0684126939642586,0.008583522993066797,12858.795929076872,0.0,0.0,44.59333833657218,44.59419980221644
split_enabled,length,Alabama,fixed_sfc_len,2.0,PVFP-FDRL,pvfp_fdrl,0.9994220868799999,0.0004690730963555039,5,26.15946319308,0.9688880362350591,5,47015.99540409536,2644.828029729699,5,0.08837696762,0.0007245726455348976,5,0.00057791312,0.0004690730963554902,5,0.0471539616,0.00013805052182351595,5,0.66679622058,0.03861974918900693,5,0.6221194381,0.013774870096448113,5,998870.8578741966,8892.321423619524,5,272290.5301148928,8492.32202286633,5,5.7648156788e-18,3.5511720104659244e-19,5,2415.4,31.037074604414638,5,2414.0,30.63494736408078,5,0.0004111606973079485,0.8492678085502857,2318.293983202797,0.000635115926500733,0.0004111606973079364,0.00012100661764166634,0.033851702708559854,0.01207420599941973,7794.463390948455,7443.8484573394735,3.112739509956989e-19,27.20519538617578,26.852715318939346
split_enabled,length,Alabama,fixed_sfc_len,3.0,DMDCA,mdca,0.93932940246,0.004951133387183617,5,39.10125909742,0.9506675199706647,5,64358.29521493668,708.3964968396084,5,0.11502806028000001,0.0023506670558197545,5,0.00597708624,0.0006923738734078962,5,0.06889259836,0.0004545261205569497,5,0.94296100966,0.029230674087217058,5,0.8810408265199999,0.017081657964864345,5,1717035.1471313755,9595.438555692013,5,375794.1941774679,8447.770976248792,5,7.6913205876e-18,4.1175255811994477e-19,5,2409.6,67.88077783879615,5,2263.4,64.6629724030685,5,0.00433985976120925,0.8332968218729736,620.9369070067831,0.002060450521078647,0.0006068924583396767,0.00039840971082092476,0.02562181552056631,0.014972733364112256,8410.772730704299,7404.797743206887,3.6091703026732675e-19,59.500125176338905,56.67959435281799
split_enabled,length,Alabama,fixed_sfc_len,3.0,MDCA,mdca,0.8963115703,0.007286128226470661,5,41.0775908507,1.1698056340560234,5,66148.12704144939,1246.836645928896,5,0.11015926108,0.0020377261493433906,5,0.00438590652,0.001096124743637665,5,0.06508780766,0.0005481300540936716,5,0.9549913590999999,0.00938621752755872,5,0.8980092269,0.01203141997143029,5,1262188.1000584331,14277.343003050659,5,0.0,0.0,5,0.0,0.0,5,2409.6,67.88077783879615,5,2159.4,45.703391559051724,5,0.0063865729788100045,1.0253798479389122,1092.9005068768602,0.001786145722268598,0.0009607956999285929,0.00048045717609392183,0.008227382413742748,0.010546004585410948,12514.642921217686,0.0,0.0,59.500125176338905,40.06078900870526
split_enabled,length,Alabama,fixed_sfc_len,3.0,PVFP-FDRL,pvfp_fdrl,0.9472407122,0.015224413630887631,5,40.683095069299995,1.0012898658296923,5,67534.95177666869,1831.0912204367785,5,0.11545383882,0.0014255268454922445,5,0.00595729994,0.0017963725333989893,5,0.06881622824,0.00013912127816494352,5,0.93665819824,0.010411814783100486,5,0.87261520134,0.009078471000341582,5,1833289.2713726908,17675.764444801654,5,399825.23439710157,10880.069331960303,5,7.446139822799999e-18,1.216087599095017e-19,5,2373.8,41.6076915966267,5,2248.2,28.75239120490682,5,0.01334478692812574,0.8776692644293196,1605.0222212246779,0.001249529372666427,0.0015745899502567114,0.00012194517695664058,0.009126358044666766,0.007957630689101523,15493.49065431733,9536.801253460193,1.0659477789630201e-19,36.47074970438639,25.202582089936783
split_enabled,length,Alabama,fixed_sfc_len,4.0,DMDCA,mdca,0.77093223828,0.014121649831019155,5,53.133445640240005,0.7360035341316015,5,72094.22953108625,1377.2912483781997,5,0.14438685708000001,0.0016216652443858245,5,0.0184512442,0.0009546867886227084,5,0.0927608526,0.0005882142316102448,5,0.96790386412,0.005665728262852013,5,0.9340091664399999,0.0007128507898240214,5,2515351.3112154864,19851.424810648703,5,493740.41953135765,8999.301598902251,5,8.7250018596e-18,6.507507987805042e-19,5,2428.0,26.532998322843202,5,1871.8,38.52531635171865,5,0.01237817183883004,0.6451355421273521,1207.249007626167,0.001421452259492641,0.0008368198661798887,0.0005155925068276187,0.004966229786809328,0.0006248412669534834,17400.541048119863,7888.2356490658485,5.704082248143138e-19,23.257198455532,33.76892867711382
