scale,J,K,L,M,seed,status,lower_bound,opt_cost,mdca_cost,mdca_opt_ratio,runtime_s,nodes,mdca_feasible,sanity_lb_le_opt,sanity_opt_le_mdca,incumbent_cost,capacity_total,min_unit_cost
3x5x2,3,5,2,2,0,solved,65.11187749490188,79.3572497426398,92.01600505243286,1.159516053679357,0.06403609999688342,27186,True,True,True,,2730,0.024167650678669744
3x5x2,3,5,2,2,1,solved,64.6970730074815,117.45493174104907,119.33987289888063,1.0160482078520743,0.5699054000142496,374677,True,True,True,,4707,0.011968161023961397
3x5x2,3,5,2,2,2,solved,50.84968682207436,76.91488278822558,82.34947259652887,1.0706571941774476,0.8324041000159923,572352,True,True,True,,3492,0.010773573238713485
3x5x2,3,5,2,2,3,solved,49.45456710709318,68.69470117552801,69.89826933082853,1.0175205384797463,0.09531890001380816,43335,True,True,True,,2493,0.014330751412293164
3x5x2,3,5,2,2,4,solved,67.41667057205949,78.75925694821898,,,0.04003319999901578,11812,False,True,False,,2586,0.023741071914301873
3x5x2,3,5,2,2,5,solved,50.73653021386344,91.69973801340154,97.18320306779111,1.059798044936488,13.735491400002502,6007748,True,True,True,,3050,0.01139793189276503
3x5x2,3,5,2,2,6,solved,38.120861181122336,39.97901472489649,44.463660345276296,1.1121749910856868,0.019226400007028133,2726,True,True,True,,2077,0.015042850475681414
3x5x2,3,5,2,2,7,solved,66.4651687624534,75.68119861583415,78.94745265521615,1.0431580643425307,0.04093079999438487,21626,True,True,True,,2164,0.028380255157586395
3x5x2,3,5,2,2,8,solved,99.14447861686476,113.20679627286287,121.88285744053952,1.076639048655389,0.029541399999288842,11675,True,True,True,,3233,0.031672139520232706
3x5x2,3,5,2,2,9,solved,33.98969566866303,51.77684616046038,52.6401822868215,1.016674173696976,0.2880943999916781,141662,True,True,True,,2243,0.010256382935383713
4x5x2,4,5,2,2,0,solved,79.60157113412923,106.5966442348638,114.02809883151528,1.069715652401569,1.543166299990844,815140,True,True,True,,4478,0.018884335183749393
4x5x2,4,5,2,2,1,solved,89.39660152264261,149.13472024880605,150.32551690968717,1.0079847044262695,118.0986419999972,55260390,True,True,True,,5115,0.017268709142498707
4x5x2,4,5,2,2,2,solved,60.31307546293754,83.9060664905337,90.0740443018794,1.0735105108525325,0.6786460000148509,383153,True,True,True,,4177,0.012290209309267964
4x5x2,4,5,2,2,3,timeout,68.20166084493235,,124.70405658700527,,300.00207639997825,113889280,True,False,False,119.31173159735718,4120,0.014492347818010605
4x5x2,4,5,2,2,4,solved,66.37722901546684,108.48821466858158,113.37390182530756,1.0450342663638734,92.98937739999383,41888070,True,True,True,,4725,0.01230465418567562
4x5x2,4,5,2,2,5,solved,66.47234031670537,113.1079708547874,119.21024045710408,1.0539508361453236,9.227703700016718,5778652,True,True,True,,4542,0.010550963806277625
4x5x2,4,5,2,2,6,solved,63.700426144518694,74.92538751341766,76.10083600600437,1.0156882537628011,5.185684599971864,2609311,True,True,True,,3603,0.013385986555875027
4x5x2,4,5,2,2,7,solved,78.78183917275251,89.68961046568366,93.26260462407174,1.0398373249681485,0.13785850000567734,57765,True,True,True,,2561,0.029436326740238793
4x5x2,4,5,2,2,8,solved,87.96126325001694,100.73412577211431,102.81051767627022,1.0206125966571966,0.6071116999955848,303490,True,True,True,,3492,0.02242215212766613
4x5x2,4,5,2,2,9,solved,59.71964842672647,78.93318615011128,86.7773864462734,1.0993777228407378,8.372745100001339,3883023,True,True,True,,4558,0.011029113223229503
4x6x2,4,6,2,2,0,solved,82.15922266574901,111.18089552109491,119.44465692023891,1.074327170692523,4.678154699999141,2597196,True,True,True,,3569,0.020128444780669823
4x6x2,4,6,2,2,1,solved,49.085934631203244,67.98994204224373,77.41553058475233,1.138632101446009,86.81876990001183,29086510,True,True,True,,2547,0.014932103947144788
4x6x2,4,6,2,2,2,timeout,94.50479330450673,,183.86663725913067,,300.02641759999096,140193792,True,False,False,158.78314379128108,6359,0.014971122932913446
4x6x2,4,6,2,2,3,solved,47.93854301680603,60.244365239493625,70.73361109298017,1.1741116503060147,2.0621012999909,1135850,True,True,True,,3179,0.01045036128328293
4x6x2,4,6,2,2,4,solved,58.59468222966813,84.91795665595221,91.52554617447444,1.0778114521206992,0.18627720000222325,125863,True,True,True,,3471,0.013466205616842402
4x6x2,4,6,2,2,5,solved,54.45080917560255,69.6012825582142,74.37690512624977,1.0686140023934367,12.128608099999838,6050864,True,True,True,,2888,0.01501948862254181
4x6x2,4,6,2,2,6,solved,42.41133422920023,74.57613866734673,78.91021808736731,1.0581161682204159,0.021871200005989522,12506,True,True,True,,2865,0.012458176523207656
4x6x2,4,6,2,2,7,solved,84.55735010077515,101.13453348923309,103.01586234758317,1.0186022399416157,1.49507750000339,745555,True,True,True,,3329,0.021744762525690277
4x6x2,4,6,2,2,8,solved,117.8089455946407,139.65965363383083,143.18702465806496,1.0252569080078233,232.46833350000088,67191229,True,True,True,,4575,0.025630040033847272
4x6x2,4,6,2,2,9,solved,54.527059555447735,75.19809269156474,88.37168581695101,1.1751852028936367,1.574806799995713,729597,True,True,True,,4145,0.010276095031110736
5x5x2,5,5,2,2,0,timeout,82.65920727069131,,133.215462103302,,300.0001149000018,112570368,True,False,False,127.16995222659848,4626,0.01322165125267535
5x5x2,5,5,2,2,1,solved,106.53929452144973,119.13466877550924,122.88072333286935,1.0314438659700222,36.23293349999585,15767596,True,True,True,,4039,0.023257289137608606
5x5x2,5,5,2,2,2,solved,91.44521784914132,114.67806577892213,114.77201315943715,1.0008192271109293,30.080616799998097,9629889,True,True,True,,4246,0.019231695147674616
5x5x2,5,5,2,2,3,timeout,85.1455245006878,,111.86318987723135,,300.09581349999644,94343168,True,False,False,105.36883639227577,5052,0.0146810841162121
5x5x2,5,5,2,2,4,timeout,122.56483385060184,,182.22851225724833,,300.2382325999788,118083584,True,False,False,167.57066989192873,6644,0.017763096086900944
5x5x2,5,5,2,2,5,timeout,141.65495406988126,,163.76873485196774,,300.0037357999827,97804288,True,False,False,160.5799167016155,5446,0.02794021678320468
5x5x2,5,5,2,2,6,timeout,97.77020578078532,,152.3139579709204,,300.0018173000135,138752000,True,False,False,149.08800575642806,5133,0.016216908842421978
5x5x2,5,5,2,2,7,timeout,80.51956053530081,,127.62204807063189,,300.0031365000177,86831104,True,False,False,125.37641311017003,4141,0.013220085003360787
5x5x2,5,5,2,2,8,timeout,75.86259802726097,,104.92566839879619,,300.1222553999978,107102208,True,False,False,98.79046519203075,3583,0.015256048843754
5x5x2,5,5,2,2,9,solved,59.084099233608505,82.2239824191388,88.73182239415853,1.0791477107232028,37.61070499999914,14784947,True,True,True,,3393,0.013672680917228567
5x8x3,5,8,3,2,0,timeout,172.78203202461586,,242.5117699879932,,300.0924902000115,129998848,True,False,False,237.0862809454622,7911,0.019104773889013136
5x8x3,5,8,3,2,1,timeout,119.01320432437056,,176.49148762070803,,300.0008511999913,117792768,True,False,False,163.99402900348554,7949,0.014008854283999752
5x8x3,5,8,3,2,2,timeout,191.58252259188578,,236.1997657218423,,300.0029415000172,106024960,True,False,False,228.82153603926838,8710,0.02274016285409025
5x8x3,5,8,3,2,3,timeout,210.32218466053084,,219.6909123199528,,300.0050929999852,82591744,True,False,False,219.30080282168728,6979,0.03142125138608805
