experiment,region,x_name,x_value,method,total_runtime_s_mean,total_runtime_s_std,total_runtime_s_count,avg_runtime_per_slot_s_mean,avg_runtime_per_slot_s_std,avg_runtime_per_slot_s_count,avg_runtime_per_arrival_ms_mean,avg_runtime_per_arrival_ms_std,avg_runtime_per_arrival_ms_count,acceptance_ratio_mean,acceptance_ratio_std,acceptance_ratio_count,avg_cost_per_accepted_mean,avg_cost_per_accepted_std,avg_cost_per_accepted_count,avg_e2e_delay_accepted_mean,avg_e2e_delay_accepted_std,avg_e2e_delay_accepted_count,p95_e2e_delay_accepted_mean,p95_e2e_delay_accepted_std,p95_e2e_delay_accepted_count,total_arrivals_mean,total_arrivals_std,total_arrivals_count,total_accepted_mean,total_accepted_std,total_accepted_count,region_cloudlet_count_mean,region_cloudlet_count_std,region_cloudlet_count_count,total_runtime_s_ci95,avg_runtime_per_slot_s_ci95,avg_runtime_per_arrival_ms_ci95,acceptance_ratio_ci95,avg_cost_per_accepted_ci95,avg_e2e_delay_accepted_ci95,p95_e2e_delay_accepted_ci95,total_arrivals_ci95,total_accepted_ci95,region_cloudlet_count_ci95
k_sweep,Arizona,cloudlet_count,50.0,DMDCA,1.425269100011792,0.05329976542787604,5,0.011877242500098268,0.0004441647118989675,5,0.5924286182595686,0.024882040568023706,5,0.27823451474,0.010669721035527319,5,54.74977898408,2.591331114658256,5,0.0807732814,0.0008733746973796855,5,0.12869307702,0.0022295681916685143,5,2406.8,62.49159943544409,5,669.4,22.600884938426628,5,50.0,0.0,5,0.046719304283157397,0.00038932753569297855,0.02181007017857133,0.00935242284226823,2.2714018696377765,0.0007655466757223616,0.0019543026865204956,54.776302029253486,19.810549108997456,0.0
k_sweep,Arizona,cloudlet_count,50.0,MDCA,1.3351849999744445,0.09023032989251967,5,0.011126541666453705,0.0007519194157709966,5,0.5550903617956175,0.04055670264179817,5,0.24935787298000003,0.008253608865425244,5,57.512217433420005,1.6087535354687357,5,0.07616740146,0.0013396338823064497,5,0.1221954212,0.004185886279831373,5,2406.8,62.49159943544409,5,600.4,31.808803812781143,5,50.0,0.0,5,0.07909037129858687,0.0006590864274882237,0.035549517267719974,0.0072346071492520175,1.4101346476256753,0.001174240870913276,0.0036690910969723687,54.776302029253486,27.88164586246658,0.0
k_sweep,Arizona,cloudlet_count,100.0,DMDCA,1.5728155799908563,0.030471756865550995,5,0.013106796499923804,0.0002539313072129244,5,0.6551384373164039,0.007906234746875233,5,0.47909696665999996,0.013551741726635914,5,61.69448654078,2.166361515772408,5,0.07618447710000001,0.0004907120448305356,5,0.12236928432000001,0.003002437811391951,5,2400.6,22.232858565645582,5,1150.2,37.32559443598989,5,100.0,0.0,5,0.02670967254012542,0.00022258060450104487,0.006930120309312882,0.011878625359997086,1.8988995923377814,0.0004301280719306485,0.0026317527774393336,19.487959770073417,32.71732605210884,0.0
k_sweep,Arizona,cloudlet_count,100.0,MDCA,1.4027703600120731,0.09487312698536358,5,0.011689753000100608,0.0007906093915446967,5,0.5843619994202366,0.03969985967584185,5,0.42418607814,0.014365370782606215,5,64.68373200822,2.2579184229226565,5,0.06938028943999999,0.0003958114748481853,5,0.11490075561999999,0.0022811835958090935,5,2400.6,22.232858565645582,5,1018.4,39.016663106934196,5,100.0,0.0,5,0.08315996238147912,0.0006929996865123259,0.034798461293494995,0.012591802672023557,1.9791527598712364,0.00034694405470171285,0.0019995455830395213,19.487959770073417,34.199613097226695,0.0
k_sweep,Arizona,cloudlet_count,200.0,DMDCA,1.9241317199892365,0.031485355183531134,5,0.016034430999910303,0.00026237795986276056,5,0.8116004026630943,0.010433914927760328,5,0.75773870432,0.02045189038417515,5,67.33410250006,1.5529720802081917,5,0.07043596464,0.0009293607437181121,5,0.1172861471,0.0021684674423646235,5,2371.0,42.76096350645061,5,1796.4,50.30208743183526,5,200.0,0.0,5,0.02759813063855159,0.00022998442198793033,0.009145729675569396,0.017926872329616844,1.361240046293871,0.0008146206090407983,0.001900745518383985,37.48163710405403,44.09172366782683,0.0
k_sweep,Arizona,cloudlet_count,200.0,MDCA,1.7082324200076981,0.07478999982422038,5,0.014235270166730818,0.0006232499985351704,5,0.7208624785756496,0.03970690675905316,5,0.64247255702,0.01031794900444218,5,67.77229956094,2.580902023217502,5,0.06389506596000001,0.0006284625652204196,5,0.11008553384,0.0014611590964332595,5,2371.0,42.76096350645061,5,1523.4,41.92612550665751,5,200.0,0.0,5,0.06555632526850841,0.0005463027105709033,0.03480463833427956,0.009044081062025153,2.262260367934984,0.0005508717267215238,0.0012807624177022393,37.48163710405403,36.74986933310103,0.0
k_sweep,Arizona,cloudlet_count,314.0,DMDCA,2.5573076200089417,0.052756111072021404,5,0.02131089683340785,0.00043963425893351124,5,1.0657175686059972,0.045414441381175855,5,0.79517543844,0.012638846407574194,5,60.012044071060004,1.450151984460343,5,0.0706796895,0.0004727165486356487,5,0.11710511732,0.0015165784797167461,5,2401.8,69.86200684205973,5,1909.4,42.52411080786994,5,314.0,0.0,5,0.04624277022954315,0.0003853564185795263,0.039807513010687565,0.011078437332009842,1.2711142586641428,0.0004143543240406516,0.0013293396489530939,61.23674896661318,37.27402656005921,0.0
k_sweep,Arizona,cloudlet_count,314.0,MDCA,2.254879620007705,0.13519834763895305,5,0.018790663500064208,0.0011266528969912746,5,0.9386223813619459,0.04397398649028044,5,0.63520959688,0.013545533654027811,5,57.36960971792,1.3064392259381787,5,0.06437252404,0.0005611673788271009,5,0.10945120180000001,0.0006446697285404275,5,2401.8,69.86200684205973,5,1525.0,23.63260459619294,5,314.0,0.0,5,0.11850657674040807,0.0009875548061700672,0.038544898629298364,0.01187318374443159,1.1451444717266295,0.0004918848950786089,0.0005650779317326734,61.23674896661318,20.71489126208487,0.0
length_sweep,Arizona,fixed_sfc_len,1.0,DMDCA,1.8263292799936608,0.0975544991934526,5,0.01521941066661384,0.0008129541599454387,5,0.76176392873446,0.04433138934367406,5,1.0,0.0,5,14.14935260132,0.27029990926078407,5,0.02714902734,0.00036827454798948916,5,0.05734789529999999,0.0013297761374414135,5,2398.2,33.040883765420105,5,2398.2,33.040883765420105,5,314.0,0.0,5,0.08551028874934331,0.0007125857395778609,0.03885817604291027,0.0,0.23692831679630222,0.00032280687408550246,0.0011656001765650347,28.961611557370215,28.961611557370215,0.0
length_sweep,Arizona,fixed_sfc_len,1.0,MDCA,1.7548769800225272,0.18007205685379954,5,0.01462397483352106,0.001500600473781662,5,0.7319638216733034,0.07810755628985634,5,1.0,0.0,5,15.1054580996,0.30849796065717305,5,0.024166413640000002,0.00013870666301960075,5,0.05354675096,0.00034968284749852533,5,2398.2,33.040883765420105,5,2398.2,33.040883765420105,5,314.0,0.0,5,0.15784011710953463,0.0013153343092461216,0.0684642917248399,0.0,0.2704103850922018,0.00012158175075804129,0.00030651053008837957,28.961611557370215,28.961611557370215,0.0
