region,fixed_reliability,seed,method,share,share_tag,domain_count,domain_failure_prob,total_accepted,expected_target_satisfaction_ratio,expected_reliability,expected_reliability_loss
Arizona,0.95,3,DMDCA,"0.5,0.5",0p5_0p5,6,0.0,1364,1.0,0.975784847629714,3.3306690738754696e-16
Arizona,0.95,3,DMDCA,"0.5,0.5",0p5_0p5,6,0.01,1364,0.9706775589709112,0.9637099992778055,0.012074848351908751
Arizona,0.95,3,DMDCA,"0.5,0.5",0p5_0p5,6,0.03,1364,0.9141219615232163,0.9393720462971656,0.03641280133254865
Arizona,0.95,3,DMDCA,"0.5,0.5",0p5_0p5,6,0.05,1364,0.8602635365079727,0.9148119355876749,0.06097291204203936
Arizona,0.95,3,MDCA,nan,nan,6,0.0,1366,1.0,0.9741992958831348,0.0
Arizona,0.95,3,MDCA,nan,nan,6,0.01,1366,0.9708795103281981,0.9607795979209217,0.013419697962213095
Arizona,0.95,3,MDCA,nan,nan,6,0.03,1366,0.9147128083973287,0.9338947524371978,0.040304543445937036
Arizona,0.95,3,MDCA,nan,nan,6,0.05,1366,0.861223930259425,0.9069744890096876,0.06722480687344723
