region,fixed_reliability,seed,method,share,share_tag,domain_count,domain_failure_prob,total_accepted,expected_target_satisfaction_ratio,expected_reliability,expected_reliability_loss
Alabama,0.996,3,DMDCA,"0.6,0.4",0p6_0p4,6,0.01,1408,0.9658558833070781,0.9905657461917644,0.00735316331652458
Alabama,0.996,3,DMDCA,"0.6,0.4",0p6_0p4,6,0.03,1408,0.900501446824584,0.9753070521520862,0.022611857356202747
Alabama,0.996,3,DMDCA,"0.6,0.4",0p6_0p4,6,0.05,1408,0.8389049374778049,0.959334563858545,0.038584345649744
Alabama,0.996,3,DMDCA,"0.7,0.3",0p7_0p3,6,0.0,1408,1.0,0.9979175461610197,9.992007221626409e-16
Alabama,0.996,3,DMDCA,"0.7,0.3",0p7_0p3,6,0.01,1408,0.9657373989751875,0.9906409880288843,0.007276558132136346
Alabama,0.996,3,DMDCA,"0.7,0.3",0p7_0p3,6,0.03,1408,0.9001591904528802,0.975528404986445,0.02238914117457569
Alabama,0.996,3,DMDCA,"0.7,0.3",0p7_0p3,6,0.05,1408,0.8383557824041191,0.959693131000631,0.03822441516038966
Alabama,0.996,4,MDCA,none,none,6,0.0,1387,1.0,0.9978668176512167,8.881784197001252e-16
Alabama,0.996,4,MDCA,none,none,6,0.01,1387,0.9657842244589528,0.9896918115935956,0.008175006057621892
Alabama,0.996,4,MDCA,none,none,6,0.03,1387,0.9003198505573697,0.9728546755320933,0.02501214211912428
Alabama,0.996,4,MDCA,none,none,6,0.05,1387,0.8386538681506851,0.9553896139128483,0.042477203738369274
Alabama,0.996,4,DMDCA,"0.5,0.5",0p5_0p5,6,0.0,1404,1.0,0.9978566326500405,8.881784197001252e-16
Alabama,0.996,4,DMDCA,"0.5,0.5",0p5_0p5,6,0.01,1404,0.9651448100194296,0.9904540169861995,0.007402615663841927
Alabama,0.996,4,DMDCA,"0.5,0.5",0p5_0p5,6,0.03,1404,0.8984925732957203,0.9750863864765795,0.022770246173461905
Alabama,0.996,4,DMDCA,"0.5,0.5",0p5_0p5,6,0.05,1404,0.835753640480324,0.9589926130723045,0.038864019577736886
Alabama,0.996,4,DMDCA,"0.6,0.4",0p6_0p4,6,0.0,1413,1.0,0.9978600307040477,5.551115123125783e-16
Alabama,0.996,4,DMDCA,"0.6,0.4",0p6_0p4,6,0.01,1413,0.9654803764281468,0.9904624954464097,0.007397535257638532
Alabama,0.996,4,DMDCA,"0.6,0.4",0p6_0p4,6,0.03,1413,0.8994412473506429,0.9751103015971082,0.022749729106940064
Alabama,0.996,4,DMDCA,"0.6,0.4",0p6_0p4,6,0.05,1413,0.8372432883381989,0.959038131387547,0.03882189931650126
Alabama,0.996,4,DMDCA,"0.7,0.3",0p7_0p3,6,0.0,1413,1.0,0.9978593464077712,9.992007221626409e-16
Alabama,0.996,4,DMDCA,"0.7,0.3",0p7_0p3,6,0.01,1413,0.9653024442742928,0.9904986931923839,0.0073606532153882576
Alabama,0.996,4,DMDCA,"0.7,0.3",0p7_0p3,6,0.03,1413,0.898942419783372,0.9752078355120306,0.022651510895741578
Alabama,0.996,4,DMDCA,"0.7,0.3",0p7_0p3,6,0.05,1413,0.8364670379511676,0.9591804702191541,0.038678876188618094
