region,fixed_reliability,method,share,share_tag,domain_count,domain_failure_prob,total_accepted_mean,total_accepted_std,total_accepted_count,expected_target_satisfaction_ratio_mean,expected_target_satisfaction_ratio_std,expected_target_satisfaction_ratio_count,expected_reliability_mean,expected_reliability_std,expected_reliability_count,expected_reliability_loss_mean,expected_reliability_loss_std,expected_reliability_loss_count,total_accepted_ci95,expected_target_satisfaction_ratio_ci95,expected_reliability_ci95,expected_reliability_loss_ci95
Alabama,0.996,DMDCA,"0.5,0.5",0p5_0p5,6,0.0,1399.2,10.329569206893387,5,1.0,0.0,5,0.9978770267651169,2.831513014384223e-05,5,6.217248937900876e-16,1.1035415816519724e-15,5,9.05426661856166,0.0,2.4819305871019313e-05,9.672968450880064e-16
Alabama,0.996,DMDCA,"0.5,0.5",0p5_0p5,6,0.01,1399.2,10.329569206893387,5,0.9653741930649448,0.00022952358270488055,5,0.9907013047552329,0.0002474377045405831,5,0.007175722009884544,0.00023587931793087497,5,9.05426661856166,0.00020118629068001433,0.00021688871079931677,0.0002067573382368508
Alabama,0.996,DMDCA,"0.5,0.5",0p5_0p5,6,0.03,1399.2,10.329569206893387,5,0.8991500280919926,0.0006505287374333389,5,0.9757783848838579,0.0007008731109463794,5,0.022098641881259585,0.000690439910336347,5,9.05426661856166,0.0005702135794615136,0.0006143423685137245,0.0006051972649652452
Alabama,0.996,DMDCA,"0.5,0.5",0p5_0p5,6,0.05,1399.2,10.329569206893387,5,0.836800543985408,0.0010249063635580666,5,0.9601156111183734,0.0011322374904253719,5,0.03776141564674427,0.0011222043631518486,5,9.05426661856166,0.0008983700373992533,0.0009924499181438223,0.0009836554943365224
Alabama,0.996,DMDCA,"0.6,0.4",0p6_0p4,6,0.0,1402.0,11.247221879202012,5,1.0,0.0,5,0.9978772345507206,2.7638001126116465e-05,5,5.10702591327572e-16,1.0666233340539798e-15,5,9.858624650528084,0.0,2.422577611784194e-05,9.34936574282209e-16
Alabama,0.996,DMDCA,"0.6,0.4",0p6_0p4,6,0.01,1402.0,11.247221879202012,5,0.9656184363228937,0.00018088176784639682,5,0.9905241972680503,0.00010293164729653035,5,0.00735303728267076,0.00010401311458085257,5,9.858624650528084,0.00015854986008758561,9.022356687328728e-05,9.117151474367027e-05
Alabama,0.996,DMDCA,"0.6,0.4",0p6_0p4,6,0.03,1402.0,11.247221879202012,5,0.8998417227262354,0.0005004411844180177,5,0.9752607107670708,0.00030160455027535525,5,0.02261652378365031,0.0003046594709201207,5,9.858624650528084,0.00043865603878288223,0.0002643680444816777,0.00026704580049087214
Alabama,0.996,DMDCA,"0.6,0.4",0p6_0p4,6,0.05,1402.0,11.247221879202012,5,0.8378882997428694,0.0007684518661539208,5,0.9592769424458745,0.00049290273861593,5,0.03860029210484659,0.0004959634962878669,5,9.858624650528084,0.000673577759181468,0.00043204829969767687,0.0004347311720867891
Alabama,0.996,DMDCA,"0.7,0.3",0p7_0p3,6,0.0,1401.6,12.953763931769034,5,1.0,0.0,5,0.9978765614361544,2.7585760627581747e-05,5,5.773159728050814e-16,1.0689320452704462e-15,5,11.354474712640828,0.0,2.417998530196249e-05,9.369602488886191e-16
Alabama,0.996,DMDCA,"0.7,0.3",0p7_0p3,6,0.01,1401.6,12.953763931769034,5,0.9653809777581899,0.0002588045157588121,5,0.9906467321573658,9.994211392957348e-05,5,0.007229829278789191,9.431290859133517e-05,5,11.354474712640828,0.00022685216012728157,8.76031253401229e-05,8.266890930825206e-05
Alabama,0.996,DMDCA,"0.7,0.3",0p7_0p3,6,0.03,1401.6,12.953763931769034,5,0.8991675724260547,0.0007288231356205134,5,0.9756158537843381,0.00028410249866486504,5,0.022260707651816914,0.00028050979146381253,5,11.354474712640828,0.0006388416453302298,0.00024902681984012153,0.0002458776731304112
Alabama,0.996,DMDCA,"0.7,0.3",0p7_0p3,6,0.05,1401.6,12.953763931769034,5,0.8368257350559709,0.0011396354572388268,5,0.9598462060119821,0.00046704313987780036,5,0.03803035542417284,0.00046347162597513573,5,11.354474712640828,0.0009989345219663971,0.000409381362003145,0.00040625079203852134
